word	fpm	lemma_fpm	nchar	pos	bin	lfpm10r	nonce_word	incorrect_answers	correct_answers	correct_odds	correct_log_odds	residual	pred
elcsigázódik	7.001166861143524e-4	0.007934655775962661	12	verb	5	-3.092	FALSE	5	36	6.166666666666667	1.8191584434161696	0.7888462790312998	1.03031216438487
elegy	0.7413068844807468	4.341306884480747	5	adjective	21	-1.266	FALSE	3	40	10.25	2.327277705584417	0.424123163314594	1.9031545422698224
ellenfél	20.025670945157525	76.55892648774795	8	noun	43	1.362	FALSE	0	33	34	3.5263605246161616	0.4230477127545274	3.103312811861631
elméskedik	0.0010501750291715287	0.004784130688448075	10	verb	7	-2.916	FALSE	7	26	3.375	1.2163953243244932	0.07697786270400422	1.139417461620489
elnyűvődik	4.667444574095683e-4	0.0026837806301050174	10	verb	4	-3.268	FALSE	6	33	4.857142857142857	1.580450375560848	0.604690859793788	0.9757595157670604
elszarusodik	0.013768961493582263	0.1014002333722287	12	verb	16	-1.798	FALSE	0	36	37	3.610917912644224	1.9805266134634492	1.6303912991807747
embertelenedik	9.334889148191366e-4	0.003500583430571762	14	verb	6	-2.967	FALSE	4	39	8	2.0794415416798357	0.9945767286771564	1.0848648130026797
embertömeg	0.538973162193699	1.2957992998833139	10	noun	30	-0.21	FALSE	0	32	33	3.49650756146648	1.1023791816363708	2.394128379830108
engedetlenkedik	0.005950991831971996	0.03558926487747958	15	verb	13	-2.171	FALSE	0	17	18	2.8903717578961645	1.4236384045688182	1.466733353327346
eredményez	19.919136522753792	63.55507584597433	10	verb	43	1.362	FALSE	0	18	19	2.9444389791664403	-0.1588738326951939	3.103312811861631
erejű	12.488331388564761	13.326254375729288	5	adjective	41	1.152	FALSE	0	39	40	3.688879454113936	0.6946719394879213	2.9942075146260123
eretnek	1.313418903150525	2.664294049008168	7	adjective	7	-2.916	FALSE	0	33	34	3.5263605246161616	2.3869430629956727	1.139417461620489
esemény	69.326487747958	284.2964994165694	7	noun	48	1.884	FALSE	0	33	34	3.5263605246161616	0.15028446966547945	3.376076054950679
eszköz	85.18168028004668	446.2571761960327	6	noun	48	1.983	FALSE	0	32	33	3.49650756146648	0.12043150651579812	3.376076054950679
evakuál	0.0039673278879813305	0.8380396732788798	7	verb	12	-2.339	FALSE	5	28	4.833333333333333	1.575536360758419	0.16335565604888208	1.4121807047095367
expresszlevél	0.0021003500583430573	0.006067677946324387	13	noun	9	-2.666	FALSE	2	33	11.333333333333334	2.4277482359480516	1.1792254770919437	1.248522758856108
extravagáns	2.2716452742123687	2.6350058343057174	11	adjective	35	0.394	FALSE	0	26	27	3.295836866004329	0.6289452430851716	2.6668916229191555
extravert	7.001166861143524e-4	0.0011668611435239206	9	noun	1	-3.87	FALSE	15	24	1.5625	0.44628710262841953	-0.365814467285212	0.8121015699136319
extrém	22.90280046674446	29.47467911318553	6	adjective	43	1.384	FALSE	0	33	34	3.5263605246161616	0.4230477127545274	3.103312811861631
ezredmásodperc	0.1707117852975496	0.4514585764294049	14	noun	25	-0.708	FALSE	3	33	8.5	2.1400661634962708	0.01870102675520926	2.12136513674106
ezüstös	1.7452742123687282	2.2822637106184365	7	adjective	34	0.281	FALSE	0	40	41	3.713572066704308	1.1012330924029603	2.6123389743013457
fajansz	0.1382730455075846	0.2597432905484247	7	noun	24	-0.829	FALSE	10	23	2.1818181818181817	0.780158557549575	-1.2866539305736768	2.066812488123251
fanatizmus	0.6693115519253209	1.4969661610268379	10	noun	30	-0.122	FALSE	1	26	13.5	2.6026896854443837	0.20856130561427427	2.394128379830108
farizeus	0.6360560093348891	3.9200700116686114	8	adjective	27	-0.491	FALSE	8	24	2.7777777777777777	1.0216512475319812	-1.208819186444699	2.230470433976679
farkasbab	0.009218203033838973	0.010618436406067678	9	noun	13	-2.154	FALSE	9	24	2.5	0.9162907318741552	-0.5504426214531913	1.466733353327346
fegyvergyár	0.1423570595099183	0.32847141190198365	11	noun	24	-0.842	FALSE	0	27	28	3.332204510175204	1.265392022051952	2.066812488123251
fegyverterem	0.013768961493582263	0.028588098016336057	12	noun	16	-1.849	FALSE	6	29	4.285714285714286	1.455287232606842	-0.17510406657393315	1.6303912991807747
fehérít	0.09509918319719954	0.7970828471411902	7	verb	23	-0.974	FALSE	0	29	30	3.4011973816621555	1.3889375421567132	2.0122598395054414
fekhely	0.456242707117853	1.8757292882147025	7	noun	29	-0.287	FALSE	0	32	33	3.49650756146648	1.1569318302541804	2.3395757312122982
felcsavaroz	0.0014002333722287048	0.2016336056009335	11	verb	7	-2.829	FALSE	1	23	12	2.4849066497880004	1.3454891881675115	1.139417461620489
feledékeny	0.5952158693115519	0.8403733955659276	10	adjective	30	-0.209	FALSE	0	39	40	3.688879454113936	1.2947510742838269	2.394128379830108
felharmonikus	0.10326721120186698	0.38319719953325554	13	adjective	23	-0.943	FALSE	17	15	0.8888888888888888	-0.11778303565638353	-2.130042875161826	2.0122598395054414
felsőfokú	21.895915985997668	22.032788798133023	9	adjective	43	1.323	FALSE	0	35	36	3.58351893845611	0.48020612659447576	3.103312811861631
feltupíroz	9.334889148191366e-4	0.09533255542590431	10	verb	6	-2.967	FALSE	1	45	23	3.1354942159291497	2.0506294029264702	1.0848648130026797
fennsík	0.9422403733955659	3.0108518086347726	7	noun	32	0.019	FALSE	2	32	11	2.3978952727983707	-0.105338404267358	2.503233677065727
