Subject	data_type	participant_cap	max_trial_number	max_block	n_mistakes_for_real_words_total	exp	link
3321	complete data	25	120	50	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3322	complete data	29	119	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3323	complete data	41	110	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3324	complete data	26	116	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3325	complete data	29	120	50	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3326	complete data	37	120	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3327	complete data	32	118	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3328	complete data	33	122	50	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3329	complete data	23	118	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3330	complete data	42	110	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3331	complete data	50	114	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3332	complete data	50	111	50	5	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3333	complete data	25	115	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3334	complete data	25	129	50	31	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3335	complete data	44	105	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3336	complete data	37	115	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3337	complete data	22	121	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3338	complete data	41	112	46	23	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3339	complete data	42	113	50	11	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3340	complete data	22	113	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3341	complete data	27	116	47	26	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3342	complete data	50	109	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3343	complete data	45	117	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3344	complete data	43	108	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3345							
3346	complete data	45	113	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3347	complete data	32	114	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3348	complete data	50	108	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3349	complete data	43	115	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3350	complete data	30	114	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3351	complete data	50	116	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3352	complete data	20	120	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3353	complete data	23	117	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3354	complete data	46	110	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3355	complete data	50	105	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3356	complete data	25	115	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3357	complete data	15	132	46	55	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3358							
3359	complete data	31	69	32	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3360	complete data	32	109	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3361	complete data	42	112	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3362	complete data	36	110	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3363	complete data	34	114	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3364	complete data	50	109	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3365	complete data	18	117	46	36	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3366							
3367	complete data	26	111	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3368	complete data	29	120	50	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
